"","x"
"1","Federal government"
"2","Local government"
"3","Never worked"
"4","Not in universe"
"5","Private"
"6","Self-employed-incorporated"
"7","Self-employed-not incorporated"
"8","State government"
"9","Without pay"
"10","0"
"11","1"
"12","2"
"13","3"
"14","4"
"15","5"
"16","6"
"17","7"
"18","8"
"19","9"
"20","10"
"21","11"
"22","12"
"23","13"
"24","14"
"25","15"
"26","16"
"27","17"
"28","18"
"29","19"
"30","20"
"31","21"
"32","22"
"33","23"
"34","24"
"35","25"
"36","26"
"37","27"
"38","28"
"39","29"
"40","30"
"41","31"
"42","32"
"43","33"
"44","34"
"45","35"
"46","36"
"47","37"
"48","38"
"49","39"
"50","40"
"51","41"
"52","42"
"53","43"
"54","44"
"55","45"
"56","46"
"57","47"
"58","48"
"59","49"
"60","50"
"61","51"
"62","0"
"63","1"
"64","2"
"65","3"
"66","4"
"67","5"
"68","6"
"69","7"
"70","8"
"71","9"
"72","10"
"73","11"
"74","12"
"75","13"
"76","14"
"77","15"
"78","16"
"79","17"
"80","18"
"81","19"
"82","20"
"83","21"
"84","22"
"85","23"
"86","24"
"87","25"
"88","26"
"89","27"
"90","28"
"91","29"
"92","30"
"93","31"
"94","32"
"95","33"
"96","34"
"97","35"
"98","36"
"99","37"
"100","38"
"101","39"
"102","40"
"103","41"
"104","42"
"105","43"
"106","44"
"107","45"
"108","46"
"109","10th grade"
"110","11th grade"
"111","12th grade no diploma"
"112","1st 2nd 3rd or 4th grade"
"113","5th or 6th grade"
"114","7th and 8th grade"
"115","9th grade"
"116","Associates degree-academic program"
"117","Associates degree-occup /vocational"
"118","Bachelors degree(BA AB BS)"
"119","Children"
"120","Doctorate degree(PhD EdD)"
"121","High school graduate"
"122","Less than 1st grade"
"123","Masters degree(MA MS MEng MEd MSW MBA)"
"124","Prof school degree (MD DDS DVM LLB JD)"
"125","Some college but no degree"
"126","College or university"
"127","High school"
"128","Not in universe"
"129","Divorced"
"130","Married-A F spouse present"
"131","Married-civilian spouse present"
"132","Married-spouse absent"
"133","Never married"
"134","Separated"
"135","Widowed"
"136","Agriculture"
"137","Armed Forces"
"138","Business and repair services"
"139","Communications"
"140","Construction"
"141","Education"
"142","Entertainment"
"143","Finance insurance and real estate"
"144","Forestry and fisheries"
"145","Hospital services"
"146","Manufacturing-durable goods"
"147","Manufacturing-nondurable goods"
"148","Medical except hospital"
"149","Mining"
"150","Not in universe or children"
"151","Other professional services"
"152","Personal services except private HH"
"153","Private household services"
"154","Public administration"
"155","Retail trade"
"156","Social services"
"157","Transportation"
"158","Utilities and sanitary services"
"159","Wholesale trade"
"160","Adm support including clerical"
"161","Armed Forces"
"162","Executive admin and managerial"
"163","Farming forestry and fishing"
"164","Handlers equip cleaners etc"
"165","Machine operators assmblrs & inspctrs"
"166","Not in universe"
"167","Other service"
"168","Precision production craft & repair"
"169","Private household services"
"170","Professional specialty"
"171","Protective services"
"172","Sales"
"173","Technicians and related support"
"174","Transportation and material moving"
"175","Amer Indian Aleut or Eskimo"
